#,Region,AZ,State,ID,Name,OS,Instance Type,EBS,Private IP,Public IP,Elastic IP,Launch Time
72,cn-north-1,cn-north-1b,running,i-0ccdad52712b13b57,nodes3.manage.k8s.local,Linux,r4.xlarge,EBS,10.100.65.13,unassigned,,2019-02-21 02:39:02 UTC
73,cn-north-1,cn-north-1b,stopped,i-9af2c322,rstudio,Linux,r3.xlarge,EBS,10.28.202.134,unassigned,,2016-11-28 07:11:51 UTC
74,cn-north-1,cn-north-1a,running,i-0c9c7968267edf423,es-snowplow-prod-master-03,Linux,t2.medium,EBS,10.28.18.121,unassigned,,2017-12-01 08:01:42 UTC
75,cn-north-1,cn-north-1b,running,i-0a62ddc815ddf3716,Xh-test-spark-cluster-version2.3.0,Linux,r4.xlarge,EBS,10.110.87.180,unassigned,,2018-07-02 06:18:39 UTC
76,cn-north-1,cn-north-1b,running,i-0509cfa7cc021e7f4,elasticsearch-es-prod-data-02,Linux,r4.2xlarge,EBS,10.28.15.33,unassigned,,2017-06-14 10:59:29 UTC
77,cn-north-1,cn-north-1b,stopped,i-0152c6b4a31df7bf1,zhongchengxin-bigdata-app1,Linux,c4.2xlarge,EBS,10.28.101.85,unassigned,,2018-02-02 02:29:37 UTC
78,cn-north-1,cn-north-1b,stopped,i-01b0f2fab9e14b416,zhongchengxin-bigdata-app2,Linux,c4.2xlarge,EBS,10.28.101.212,unassigned,,2018-02-02 02:29:37 UTC
79,cn-north-1,cn-north-1a,running,i-0680e33fbdb7449b0,openvpn,Linux,t2.medium,EBS,10.100.1.253,54.223.167.222,ElasticIP,2017-10-18 03:27:45 UTC
80,cn-north-1,cn-north-1a,running,i-0f0d8b719e3969b42,bs-dfp-server-02,Linux,c4.large,EBS,10.28.6.83,unassigned,,2018-12-20 07:58:32 UTC
81,cn-north-1,cn-north-1a,running,i-009d08c338e982d7a,bs-mysql,Linux,t2.small,EBS,10.28.6.177,unassigned,,2018-05-24 10:34:42 UTC
82,cn-north-1,cn-north-1a,running,i-0a92c65770bc0c924,bs-dfp-mgr,Linux,t2.large,EBS,10.28.6.148,unassigned,,2018-05-24 10:28:23 UTC
